|        a         |        b         | s |       out        |
| 0001100111111110 | 0010010011011111 | 0 | 0011111011011101 |
| 0010001110010001 | 0001100010100011 | 0 | 0011110000110100 |
| 0001011010100110 | 0000011001010010 | 1 | 0001000001010100 |
| 0010000011010010 | 0001000100000001 | 0 | 0011000111010011 |
| 0001101000100111 | 0000100001011000 | 0 | 0010001001111111 |
| 0001100000010001 | 0001100100110000 | 0 | 0011000101000001 |
| 0000101110110010 | 0001110100101110 | 1 | 1110111010000100 |
| 0001110000110101 | 0000100100000001 | 0 | 0010010100110110 |
| 0000100011111101 | 0000010011011000 | 0 | 0000110111010101 |
| 0001111001001110 | 0010001011111011 | 1 | 1111101101010011 |
| 0001110001011110 | 0001101110000011 | 0 | 0011011111100001 |
| 0000101010010011 | 0001101011101110 | 1 | 1110111110100101 |
| 0001101100110010 | 0000100000011011 | 1 | 0001001100010111 |
| 0001011110111010 | 0010001010001001 | 1 | 1111010100110001 |
| 0010001101000001 | 0000110001111110 | 0 | 0010111110111111 |
| 0000110100010111 | 0001000100101001 | 0 | 0001111001000000 |
| 0010010111010011 | 0001010111110110 | 0 | 0011101111001001 |
| 0001111101100111 | 0001110110101001 | 0 | 0011110100010000 |
| 0001011000011101 | 0001111100001110 | 0 | 0011010100101011 |
| 0001010110011000 | 0000101110001011 | 0 | 0010000100100011 |
| 0010001000000011 | 0001111010110000 | 0 | 0100000010110011 |
| 0001100111110110 | 0010011001001111 | 1 | 1111001110100111 |
| 0000111010010000 | 0000110100011001 | 0 | 0001101110101001 |
| 0001110000000000 | 0000111000000000 | 1 | 0000111000000000 |
| 0001010000111100 | 0001111101011111 | 0 | 0011001110011011 |
| 0010010000110000 | 0001110101011100 | 0 | 0100000110001100 |
| 0000110001110000 | 0010001011001111 | 0 | 0010111100111111 |
| 0001111011010100 | 0001111100011111 | 1 | 1111111110110101 |
| 0000101000010111 | 0010011001000010 | 1 | 1110001111010101 |
| 0001011100100001 | 0001010001001000 | 0 | 0010101101101001 |
| 0001100001110000 | 0001101111000010 | 1 | 1111110010101110 |
| 0001110001001101 | 0001110101000101 | 0 | 0011100110010010 |
| 0010011100000110 | 0001101000101011 | 0 | 0100000100110001 |
| 0000101010100011 | 0000101010110101 | 1 | 1111111111101110 |
| 0001111001011111 | 0000011101011001 | 1 | 0001011100000110 |
| 0001000111111011 | 0000100111101101 | 0 | 0001101111101000 |
| 0000010101011010 | 0000011111011011 | 0 | 0000110100110101 |
| 0001100011000011 | 0001111000001100 | 1 | 1111101010110111 |
| 0001110111111010 | 0000101000001000 | 1 | 0001001111110010 |
| 0001011000010100 | 0001101101011011 | 1 | 1111101010111001 |
| 0000111001101000 | 0000110000100011 | 0 | 0001101010001011 |
| 0001110111100101 | 0000100100011011 | 0 | 0010011100000000 |
| 0000010111101100 | 0001011101100100 | 1 | 1110111010001000 |
| 0001110110101100 | 0000011000101100 | 0 | 0010001111011000 |
| 0000100111100111 | 0000101001011110 | 1 | 1111111110001001 |
| 0000010001011111 | 0010011011010101 | 1 | 1101110110001010 |
| 0001001110110000 | 0001111110011001 | 0 | 0011001101001001 |
| 0001100011111010 | 0001100001000100 | 1 | 0000000010110110 |
| 0000010010010100 | 0000110011100000 | 0 | 0001000101110100 |
| 0000010110100111 | 0000101110000001 | 0 | 0001000100101000 |
| 0001000100110111 | 0001011111011011 | 0 | 0010100100010010 |
| 0000110101011100 | 0000011110000100 | 1 | 0000010111011000 |
