| time | up  |out |
| 0+   |  1  |  0 |
| 1    |  1  |  1 |
| 1+   |  1  |  1 |
| 2    |  1  |  2 |
| 2+   |  1  |  2 |
| 3    |  1  |  3 |
| 3+   |  1  |  3 |
| 4    |  1  |  4 |
| 4+   |  1  |  4 |
| 5    |  1  |  5 |
| 5+   |  1  |  5 |
| 6    |  1  |  6 |
| 6+   |  1  |  6 |
| 7    |  1  |  7 |
| 7+   |  1  |  7 |
| 8    |  0  |  0 |
| 8+   |  0  |  0 |
| 9    |  0  |  7 |
| 9+   |  0  |  7 |
| 10   |  0  |  6 |
| 10+  |  0  |  6 |
| 11   |  0  |  5 |
| 11+  |  0  |  5 |
| 12   |  0  |  4 |
| 12+  |  0  |  4 |
| 13   |  0  |  3 |
| 13+  |  0  |  3 |
| 14   |  0  |  2 |
| 14+  |  0  |  2 |
| 15   |  0  |  1 |
| 15+  |  0  |  1 |
| 16   |  0  |  0 |
