| time |  in1   |  in2   |shift| shiftIn |load |  out1  |  out2  |
| 0+   |      0 |      0 |  0  |    0    |  0  |      0 |      0 |
| 1    |      0 |      0 |  0  |    0    |  0  |      0 |      0 |
| 1+   |    333 |    333 |  0  |    0    |  1  |      0 |      0 |
| 2    |    333 |    333 |  0  |    0    |  1  |    333 |    333 |
| 2+   |    333 |    333 |  1  |    0    |  0  |    333 |    333 |
| 3    |    333 |    333 |  1  |    0    |  0  |    666 |    666 |
| 3+   |      1 |      1 |  0  |    0    |  0  |    666 |    666 |
| 4    |      1 |      1 |  0  |    0    |  0  |    666 |    666 |
| 4+   |    333 |    333 |  0  |    0    |  1  |    666 |    666 |
| 5    |    333 |    333 |  0  |    0    |  1  |    333 |    333 |
| 5+   |    333 |    333 |  0  |    0    |  1  |    333 |    333 |
| 6    |    333 |    333 |  0  |    0    |  1  |    333 |    333 |
| 6+   |    333 |    333 |  0  |    0    |  0  |    333 |    333 |
| 7    |    333 |    333 |  0  |    0    |  0  |    333 |    333 |
| 7+   |     15 |     15 |  0  |    0    |  1  |    333 |    333 |
| 8    |     15 |     15 |  0  |    0    |  1  |     15 |     15 |
