| time |   in   |load |shift|  out   |
| 0+   |      0 |  0  |  0  |      0 |
| 1    |      0 |  0  |  0  |      0 |
| 1+   |    333 |  1  |  0  |      0 |
| 2    |    333 |  1  |  0  |    333 |
| 2+   |    333 |  0  |  1  |    333 |
| 3    |    333 |  0  |  1  |    666 |
| 3+   |      1 |  0  |  0  |    666 |
| 4    |      1 |  0  |  0  |    666 |
| 4+   |    333 |  1  |  0  |    666 |
| 5    |    333 |  1  |  0  |    333 |
| 5+   |    333 |  1  |  0  |    333 |
| 6    |    333 |  1  |  0  |    333 |
| 6+   |    333 |  0  |  0  |    333 |
| 7    |    333 |  0  |  0  |    333 |
| 7+   |     15 |  1  |  0  |    333 |
| 8    |     15 |  1  |  0  |     15 |
| 8+   |     16 |  1  |  1  |     15 |
| 9    |     16 |  1  |  1  |     16 |
