|  time  | address  | load |  in   |  out  |
| 0+     |    14493 |    1 | 11857 |     0 |
| 1      |    14493 |    1 | 11857 | 11857 |
| 1+     |    26851 |    1 |  7253 |     0 |
| 2      |    26851 |    1 |  7253 |  7253 |
| 2+     |     3319 |    0 |  7253 |     0 |
| 3      |     3319 |    0 |  7253 |     0 |
| 3+     |     4697 |    1 | 13413 |     0 |
| 4      |     4697 |    1 | 13413 | 13413 |
| 4+     |     6320 |    0 | 13413 |     0 |
| 5      |     6320 |    0 | 13413 |     0 |
| 5+     |     6075 |    0 | 13413 |     0 |
| 6      |     6075 |    0 | 13413 |     0 |
| 6+     |    23923 |    0 | 13413 |     0 |
| 7      |    23923 |    0 | 13413 |     0 |
| 7+     |    26909 |    1 | 29992 |     0 |
| 8      |    26909 |    1 | 29992 | 29992 |
| 8+     |    30275 |    0 | 29992 |     0 |
| 9      |    30275 |    0 | 29992 |     0 |
| 9+     |     9923 |    1 | 25887 |     0 |
| 10     |     9923 |    1 | 25887 | 25887 |
| 10+    |     1622 |    1 | 19380 |     0 |
| 11     |     1622 |    1 | 19380 | 19380 |
| 11+    |     5846 |    1 | 17024 |     0 |
| 12     |     5846 |    1 | 17024 | 17024 |
| 12+    |    27779 |    1 | 12605 |     0 |
| 13     |    27779 |    1 | 12605 | 12605 |
| 13+    |     9074 |    0 | 12605 |     0 |
| 14     |     9074 |    0 | 12605 |     0 |
| 14+    |    11365 |    1 | 29129 |     0 |
| 15     |    11365 |    1 | 29129 | 29129 |
| 15+    |      843 |    0 | 29129 |     0 |
| 16     |      843 |    0 | 29129 |     0 |
| 16+    |    24726 |    1 | 21743 |     0 |
| 17     |    24726 |    1 | 21743 | 21743 |
| 17+    |    29270 |    0 | 21743 |     0 |
| 18     |    29270 |    0 | 21743 |     0 |
| 18+    |     2640 |    0 | 21743 |     0 |
| 19     |     2640 |    0 | 21743 |     0 |
| 19+    |    15930 |    1 | 26880 |     0 |
| 20     |    15930 |    1 | 26880 | 26880 |
| 20+    |    25186 |    0 | 26880 |     0 |
| 21     |    25186 |    0 | 26880 |     0 |
| 21+    |    29705 |    1 | 13597 |     0 |
| 22     |    29705 |    1 | 13597 | 13597 |
| 22+    |    25805 |    1 |  7492 |     0 |
| 23     |    25805 |    1 |  7492 |  7492 |
| 23+    |    10595 |    1 | 11623 |     0 |
| 24     |    10595 |    1 | 11623 | 11623 |
| 24+    |    13274 |    1 | 26666 |     0 |
| 25     |    13274 |    1 | 26666 | 26666 |
| 25+    |    20245 |    0 | 26666 |     0 |
