| time | address | load |  in   |  out  |
| 0+   |      12 |    0 |     0 |     0 |
| 1    |      12 |    0 |     0 |     0 |
| 1+   |      58 |    0 |     0 |     0 |
| 2    |      58 |    0 |     0 |     0 |
| 2+   |       9 |    0 |     0 |     0 |
| 3    |       9 |    0 |     0 |     0 |
| 3+   |      15 |    1 |  8623 |     0 |
| 4    |      15 |    1 |  8623 |  8623 |
| 4+   |       6 |    1 |  1951 |     0 |
| 5    |       6 |    1 |  1951 |  1951 |
| 5+   |       2 |    0 |  1951 |     0 |
| 6    |       2 |    0 |  1951 |     0 |
| 6+   |      18 |    1 | 23832 |     0 |
| 7    |      18 |    1 | 23832 | 23832 |
| 7+   |      31 |    0 | 23832 |     0 |
| 8    |      31 |    0 | 23832 |     0 |
| 8+   |      53 |    1 | 12919 |     0 |
| 9    |      53 |    1 | 12919 | 12919 |
| 9+   |      25 |    1 | 21707 |     0 |
| 10   |      25 |    1 | 21707 | 21707 |
| 10+  |      62 |    1 | 29647 |     0 |
| 11   |      62 |    1 | 29647 | 29647 |
| 11+  |      50 |    1 | 24338 |     0 |
| 12   |      50 |    1 | 24338 | 24338 |
| 12+  |      29 |    1 |  5091 |     0 |
| 13   |      29 |    1 |  5091 |  5091 |
| 13+  |      16 |    1 | 20165 |     0 |
| 14   |      16 |    1 | 20165 | 20165 |
| 14+  |      58 |    1 | 26983 |     0 |
| 15   |      58 |    1 | 26983 | 26983 |
| 15+  |      53 |    1 | 12699 | 12919 |
| 16   |      53 |    1 | 12699 | 12699 |
| 16+  |      29 |    1 |   617 |  5091 |
| 17   |      29 |    1 |   617 |   617 |
| 17+  |       2 |    0 |   617 |     0 |
| 18   |       2 |    0 |   617 |     0 |
| 18+  |      28 |    1 |  5062 |     0 |
| 19   |      28 |    1 |  5062 |  5062 |
| 19+  |       2 |    0 |  5062 |     0 |
| 20   |       2 |    0 |  5062 |     0 |
| 20+  |      46 |    0 |  5062 |     0 |
| 21   |      46 |    0 |  5062 |     0 |
| 21+  |      42 |    1 | 16908 |     0 |
| 22   |      42 |    1 | 16908 | 16908 |
| 22+  |      55 |    1 |  5169 |     0 |
| 23   |      55 |    1 |  5169 |  5169 |
| 23+  |      42 |    0 |  5169 | 16908 |
| 24   |      42 |    0 |  5169 | 16908 |
| 24+  |       1 |    1 | 25952 |     0 |
| 25   |       1 |    1 | 25952 | 25952 |
| 25+  |       5 |    0 | 25952 |     0 |
| 26   |       5 |    0 | 25952 |     0 |
| 26+  |      55 |    0 | 25952 |  5169 |
| 27   |      55 |    0 | 25952 |  5169 |
| 27+  |       1 |    0 | 25952 | 25952 |
| 28   |       1 |    0 | 25952 | 25952 |
| 28+  |      43 |    1 |  4488 |     0 |
| 29   |      43 |    1 |  4488 |  4488 |
| 29+  |      59 |    1 | 10994 |     0 |
