| time |ARegister|DRegister| RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] |
| 0    |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 1    |      10 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 2    |      10 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 3    |      20 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 4    |      20 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 5    |      10 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 6    |      10 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 7    |      20 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 8    |      20 |     -10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 9    |      10 |     -10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 10   |      10 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 11   |      20 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 12   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 13   |      10 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 14   |      10 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 15   |      20 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 16   |      20 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 17   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 18   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 19   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 20   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 21   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 22   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 23   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 24   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 25   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 26   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 27   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 28   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 29   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 30   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 31   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 32   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 33   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 34   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 35   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 36   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 37   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 38   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 39   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 40   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 41   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 42   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 43   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 44   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 45   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 46   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 47   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 48   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 49   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 50   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 51   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 52   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 53   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 54   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 55   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 56   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 57   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 58   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 59   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 60   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 61   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 62   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 63   |      16 |      30 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
