| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] |
| 0    |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 1    |       1 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 2    |       1 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 3    |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 4    |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 5    |       0 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 6    |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 7    |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 8    |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 9    |      11 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 10   |      11 |      11 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 11   |      18 |      11 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |
| 12   |      18 |      11 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 13   |       1 |      11 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 14   |       1 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 15   |      18 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 16   |      18 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 17   |      22 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 18   |      22 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 19   |      17 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |         11 |          0 |          0 |          0 |          0 |
| 20   |      17 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 21   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 22   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 23   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 24   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 25   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 26   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 27   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 28   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 29   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 30   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 31   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 32   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
| 33   |      24 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          1 |         11 |          0 |          0 |          0 |          0 |
