| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 0    |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 1    |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 2    |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 3    |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 4    |      17 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 5    |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 6    |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 7    |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 8    |       5 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 9    |       5 |      -5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 10   |      20 |      -5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 11   |      20 |      -5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 12   |      16 |      -5 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 13   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 14   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 15   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 16   |      18 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 17   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 18   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 19   |       5 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 20   |       5 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 21   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 22   |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 23   |       5 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 24   |       5 |      -4 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 25   |      20 |      -4 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 26   |      20 |      -4 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 27   |      16 |      -4 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 28   |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 29   |      18 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 30   |      19 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 31   |      19 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 32   |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          1 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 33   |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 34   |       5 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 35   |       5 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 36   |      16 |       1 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 37   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 38   |       5 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 39   |       5 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 40   |      20 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 41   |      20 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 42   |      16 |      -3 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 43   |      16 |       2 |          0 |          0 |          0 |          0 |          0 |          0 |          2 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
