| time |ARegister|DRegister| RAM16K[0]  | RAM16K[1]  | RAM16K[2]  | RAM16K[3]  | RAM16K[4]  | RAM16K[5]  | RAM16K[16] | RAM16K[17] | RAM16K[18] | RAM16K[19] | RAM16K[20] | RAM16K[21] | RAM16K[22] | RAM16K[23] | RAM16K[24] | RAM16K[25] | RAM16K[26] |
| 0    |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 1    |      10 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 2    |      10 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 3    |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 4    |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 5    |      17 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 6    |      17 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 7    |      18 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 8    |      18 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 9    |       0 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 10   |       0 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 11   |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 12   |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 13   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 14   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 15   |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 16   |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 17   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 18   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 19   |      20 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 20   |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 21   |      19 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 22   |      16 |       0 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 23   |      16 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 24   |      19 |      10 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 25   |      19 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
| 26   |      14 |       9 |          0 |          0 |          0 |          0 |          0 |          0 |         10 |          0 |          0 |          1 |          0 |          0 |          0 |          0 |          0 |          0 |          0 |
